feedback_id,feedback_date,region,org_id,product_id,submitter_role,sentiment,topic,urgency,feedback_text,followup_status
FB0001,2026-07-10,华东,NM-H001,NMX-01,客户经理,正向,识别准确率,低,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0002,2026-07-16,华东,NM-H001,NMX-02,售前顾问,负向,数据导出,高,运营月报导出字段不够，客户要求增加科室与任务状态。,待跟进
FB0003,2026-07-22,华东,NM-H001,NMX-01,客户成功经理,中性,识别准确率,中,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0004,2026-07-28,华东,NM-H002,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0005,2026-08-04,华东,NM-H002,NMX-01,售前顾问,负向,合规材料,高,采购办要求补充算法版本变更记录和院内审查材料。,待跟进
FB0006,2026-08-11,华东,NM-H002,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0007,2026-08-20,华东,NM-H003,NMX-01,客户经理,正向,识别准确率,低,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0008,2026-08-26,华东,NM-H003,NMX-02,售前顾问,负向,系统集成,高,HIS患者状态回写字段缺失，需与信息科确认接口范围。,待跟进
FB0009,2026-07-10,华东,NM-H003,NMX-01,客户成功经理,中性,识别准确率,中,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
FB0010,2026-07-15,华东,NM-H004,NMX-02,客户经理,正向,模板配置,低,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0011,2026-07-23,华东,NM-H004,NMX-01,售前顾问,负向,部署性能,紧急,本地服务器配置偏低，高峰期影像队列等待时间较长。,处理中
FB0012,2026-07-31,华东,NM-H004,NMX-02,客户成功经理,中性,模板配置,中,慢病随访模板配置顺畅，希望增加批量复制功能。,已记录
FB0013,2026-08-07,华北,NM-H005,NMX-01,客户经理,正向,识别准确率,低,影像科试用后认为肺部结节提示较稳定，希望补充院内验证材料。,已记录
